StoredProcedure|Path|LineNumber|Line
spDALLiveGasSalesFromSQL|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\PGSQL\LiveGasSales.cs|165466|cmdTemp.CommandText = "[V10].[spDALLiveGasSalesFromSQL]";

spDALSettingsStoreConnection|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\PGSQL\LiveGasSales.cs|208668|cmdTemp.CommandText = "spDALSettingsStoreConnection";

spBLGetStoreListExcludingRuby|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\PGSQL\TransactionStream.cs|80484|using (SqlCommand cmdTemp = new SqlCommand("spBLGetStoreListExcludingRuby", cnTemp))

spDALLinkedCodeDelete|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\POSAdmin\Resources\handler\DeleteLinkedCodeField.ashx.cs|9820|cmdTemp.CommandText = "[V10].[spDALLinkedCodeDelete]";

spAdminReBatchPricebook|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\POSAdmin\Resources\handler\ReBatchPricebook.ashx.cs|12129|cmdTemp.CommandText = "[v10].[spAdminReBatchPricebookNew]";

spDALPOSKeyDelete|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\POSAdmin\Resources\handler\RegisterKeyDelete.ashx.cs|14168|cmdTemp.CommandText = "[V10].spDALPOSKeyDelete";

spTaxGroupDelete|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\POSAdmin\Resources\handler\TaxGroupDelete.ashx.cs|15009|cmdTemp.CommandText = "[V10].spTaxGroupDelete";

spTaxGroupDelete|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\POSAdmin\Resources\handler\TaxGroupDelete.ashx.cs|15329|cmdTemp.CommandText = "[V10].spTaxGroupDelete";

spBLBulkEDIGetDetails|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\POSPurchase\Resources\handler\EDIUploadBulkProcess.ashx.cs|57377|cmdTemp.CommandText = "[dbo].[spBLBulkEDIGetDetailsInBatches]";

spBLBulkEDIGetDetailsInBatches|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\POSPurchase\Resources\handler\EDIUploadBulkProcess.ashx.cs|57378|cmdTemp.CommandText = "[dbo].[spBLBulkEDIGetDetailsInBatches]";

spBOItemAddNew|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\POSPurchase\Resources\handler\POSPurchaseCaseAddUpdate.ashx.cs|337896|cmdTemp.CommandText = "[V10].[spBOItemAddNewWeb]";

spBOItemAddNewWeb|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\POSPurchase\Resources\handler\POSPurchaseCaseAddUpdate.ashx.cs|337897|cmdTemp.CommandText = "[V10].[spBOItemAddNewWeb]";

spBLCostUpdateByCaseID|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\POSPurchase\Resources\handler\POSPurchaseCaseBUCost.ashx.cs|109315|cmdPOSTemp.CommandText = "[V10].[spBLCostUpdateByCaseID]";

spBLGlobalVendorPurchasePack|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\POSPurchase\Resources\handler\POSPurchaseCaseImport.ashx.cs|60031|cmdTemp.CommandText = "[V10].[spBLGlobalVendorPurchasePack]";

spBLImportUpdateNew|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\POSPurchase\Resources\handler\POSPurchaseCaseImport.ashx.cs|234833|cmdTemp.CommandText = "[pur].[spBLImportUpdateNew]";

spBLGlobalVendorPurchasePack|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\POSPurchase\Resources\handler\POSPurchaseCaseImport.ashx.cs|289694|cmdTemp.CommandText = "[V10].[spBLGlobalVendorPurchasePackImportDelete]";

spBLGlobalVendorPurchasePackImportDelete|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\POSPurchase\Resources\handler\POSPurchaseCaseImport.ashx.cs|289695|cmdTemp.CommandText = "[V10].[spBLGlobalVendorPurchasePackImportDelete]";

spBLInputDeliveryScanStaggingToDetails|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\POSPurchase\Resources\handler\POSPurchaseCaseRetailingDeliveryScan.ashx.cs|272400|cmdTemp.CommandText = "[pur].[spBLInputDeliveryScanStaggingToDetails]";

spBLBulkEDIGetDetails|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\POSPurchase\Resources\handler\POSPurchaseCaseRetailingDeliveryScan.ashx.cs|304383|cmdTemp.CommandText = "[pur].[spBLBulkEDIGetDetails]";

spBLInputFileDeliveryScanItemUpdate|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\POSPurchase\Resources\handler\POSPurchaseCaseRetailingDeliveryScan.ashx.cs|587060|cmdTemp.CommandText = "[pur].[spBLInputFileDeliveryScanItemUpdateNew]";

spBLInputFileDeliveryScanItemUpdateNew|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\POSPurchase\Resources\handler\POSPurchaseCaseRetailingDeliveryScan.ashx.cs|587061|cmdTemp.CommandText = "[pur].[spBLInputFileDeliveryScanItemUpdateNew]";

spBLInputEDIFileStaggingToDetails|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\POSPurchase\Resources\handler\POSPurchaseCaseRetailingEDI.ashx.cs|724798|cmdTemp.CommandText = "[pur].[spBLInputEDIFileStaggingToDetails]";

spBLInputFileEDINewItemUpdate|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\POSPurchase\Resources\handler\POSPurchaseCaseRetailingEDI.ashx.cs|865525|cmdTemp.CommandText = "[pur].[spBLInputFileEDINewItemUpdate]";

spBLBulkEDIGetDetails|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\POSPurchase\Resources\handler\POSPurchaseCaseRetailingEDIBulkProcess.ashx.cs|66713|cmdTemp.CommandText = "[pur].[spBLBulkEDIGetDetailsInBatches]";

spBLBulkEDIGetDetailsInBatches|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\POSPurchase\Resources\handler\POSPurchaseCaseRetailingEDIBulkProcess.ashx.cs|66714|cmdTemp.CommandText = "[pur].[spBLBulkEDIGetDetailsInBatches]";

